Instruction,Topic
"اكتب جملة وحدة تلخّص النقطة الرئيسية من الخبر هاذا:
""كيف باقي الغرب، يوتا عندها مشكلة مع الما. اما الجفاف الكبير والاستهلاك الزايد ما يهدّدش كان الحياة البرية والفلاحة والصناعة هنا، بحيرة السالت لايك العظيمة اللي تختفي تنجم تسمّم ريات أكثر من 2.5 مليون شخص. كيف وصل مستوى المي للمعدل الأدنى في الاشهر اللي فاتو، 800 ميل مربع من قاع البحيرة ظهر - أرض فيها سموم طبيعية وبشرية كيما الزئبق والأرسنيك والسيلينيوم. وكي توة الطين هاذا يولّي غبرة وتتخلط مع الجو الملوّث في الشتا، العلماء يحذرو انّ المسطّح المائي الكبير ينجّم يتقسّم لبحيرات صغيرة ميتة في ظرف ٥ سنين، في طريقو إنه يولّي ""غبرة سامة كبيرة"". ""هاذا كارثة بيئية اللي باش تولّي كارثة صحية للبشر""، حذّرت بوني باكستر، مديرة معهد بحيرة السالت لايك في كلية وستمنستر في مدينة سولت لايك، يوتا. ""نعرفو ع عواصف الغبرة، ونعرفو تلوّث الجزيئات الصغيرة، ونعرفو المعادن الثقيلة وقداش مضرة بالناس""، قالت لـCNN. ""نشوفو أزمة قريبة.""",Science and Math
شنوا الجملة العادية في حلقة جافاسكريبت توريني كمية معينا متع وقت و توقف؟ فسرلي بمثال,"Languages & Translation, Culture & Entertainment"
علاش كي نلعبو ماتش في البلاد مش كيف نلعبوه في بلاد اخرا,"Culture & Entertainment, Society & Current Affairs"
اكتبلي رسالة لحريف طلب حاجا اما الحاجة هاكي معادش موجودا,Languages & Translation
"الجملة لي بش نعطيهالك تنجم تكون فيها برشا كلام ولا معقدا ولا مش واضحا. عاود اكتبها و رد كتيبتك واضحا. كي تنجم, اقسم الجمل المعقدة لبرشا جمل و نحي الكلام الزايد . كان عندك ايا سؤال على المعد متاعي ولا كان جاك لازم تزيد ولا تنقص في نطاق المشروع قلي.",Languages & Translation
"حلّل اختيار الكلمات والتعبيرات وعلامات الترقيم والكابيتاليزيشن في الإيميل المعطى. كيفاش ينجم القاري ياخذ انطباع على الكاتب؟ النبرات تشمل: مُحبط، اِتّهامي، قلق، فضولي، متفاجئ، معبّر على عدم الرضا، متواضع، رسمي، حازم، واثق، شاكر، قلقان، حزين، عفوي، نادم، مشجّع، أناني، فرحان، متفائل، ومتشوّق.
الإدخال:
 اهلا مروا, نشله تكون لاباس. نجمو نتلقاو بعد؟ مضابيا نشوفك شنوا تقلي عل بريزونتاسيون متاعي للاجتماع غدوا. كان تنجم تعاود تثبت ارقام المبيعات معايا.تا نعطيك قهوا.",Languages & Translation
"عاود إكتبلي النص هاذا و صلح غلاط القواعد و التهجئة و التنقيط:كان قتلي عام لتالي ليوم نكمل الماراثون, كنت نضحك. تشجيعك عملي فرشا أثر عليا!",Languages & Translation
"بش نعطيك اقتباس متع اوراق. حولها للنوع المطلوب متع اقتباس. شيكاغو:فسواني,اشيش,شزير,نوام,برمر,نيكي,اوزكوريت,جيكوب,جوناس,ليون,غوميز,ايدن ن.,كيسر,لوكاسز, و الليا بولوسوكهين. ""الإهتمام هو كل ما تريد"" arXiv, (2017). https://doi.org/10.48550/arXiv.1706.03762. MLA:",Science and Math
"خدمت البيرو لازمها برشا كتيبا متع ايميل, هاكا علاه نتعبو كي نعاودو كلامنا. اعطيني برشا كلام يشبه للكلمة لي بش نعطيهالك: كلمة: بإخلاص",Languages & Translation
"كان تنجم تعاوني نكتب إيميل لصحابي الكل نستدعيهم للعشا نهار الخميس, تعمل مزيا كبيرا. ",Personal Development & Life Advice
"النبرا متع الايميل لازم تتبدل و تعاود تكتبها بطريقة احترافية. موضوع: نسئل على عطلة عسلاما [موضف], نشله تكون لاباس. نكتبلك بش نسأل كان نجم ناخو نهار راحا [يوم]. ديجا تلاهيت بخدمتي للنهار هاكا و نجم نجاوب اياسؤال عندك. عيشك على وقتك[اسمك]",Languages & Translation
اعملي بوست متع مواقع تواصل إشتماعي بش إنادي ناس بش نتشاركو على بروجيات شاملا بطريقة مقنعة,Personal Development & Life Advice
احسن حاجا في شوفلي حل هيا:,Culture & Entertainment
تمرين باهي متع كتابا هوا تكتب قصة ماغير وصف. هذا يعاون تتعلم تستعمل كلام جديد و جمل توصف شنوا تحب تقول. هو ميثال:,Languages & Translation
اعطيني شنوا نكتب في الغوغل بش نلقا حاجات عل البرمجة,Technology & Digital Life
اعطيني اكثر اسئلة في stackOverflow على كلمات البحث هاذم. و اعطيني ليستا متع الURL متاعهم. البحث: كيفاش نحي حاجا مالجدول هاذا,Technology & Digital Life
بش نعطيك كود ولا كلام بحث عالكود. لوجلي علا كود عندو علاقا بالبحث هاكا. تدخيل: حلقة بيثن,Technology & Digital Life
"بش نعطيك تفسير لكود, حاجات بالضبط . حاشتي بيك بش تعاوني نصنع كود بش نسرع في التطوير. مدخل: fonction بيثن بش نشوف نومرو زوجي",Science and Math
"كي توحل في مشكلة متع كود, احسن بلاصا بش تشوف اعانة هيا الوثائق . اقرا الوثائق بالباهي و شوف كان فما حاجا تغطي المشكل الي عندك. الجواب قدامك. كان لا حاول لوج على كلمات عندهاعلاقا بالمشكل متاعك. اعطيني الرابط الباهي للكلمات لي عطيتهملك. مدخل: sql لوج قيمة متعاودا",Technology & Digital Life
"دخلنا ميزانية قضية الدار في الجدول هاذا. احسبلي العمود اللخر بالfonction لي عطيتهالك و عاود اكتب الجدول كامل. اقرا حساب, الاعمدة على بعضهم مفرقين بفاصل, و اسطر مقسومين ب ""|"". حاجا,قداش,سوم,مجموع | منغا,5,500,؟ | تفاح, 4,150,؟|زيت,2,1500,؟ function:عمود2*عمود3",Science and Math
بللهي اكتب اسم fonction Excel تابعا كل وصف:ترجع نومرو النهارا بينات نهارين- ترجع البدايا متع نص في وصط نص آخر- ترجع الرقم في وسط مجموعا متع نوامر,Technology & Digital Life
شنوا الخطوات بش نستعمل نص عشوائي بش تعبي كلام في الورد دوكيمون متاعي؟,Education & Studying
"اعمل بالات كولور هادية , البالات كولور اون جنرال تجي مزيانة و رقيقة , هاك علاه لازمك تتأكد انو الPresentation متاعك لازمها تبدا اككا,اختار حتى خمسة الوان ولا les codes متاع الالوان.",Technology & Digital Life
"شريت زوز مراول من بوتيك و سوم كل واحد 10 دينارات.وشريت زادا سروال ب 20 دينار , و بعد شريت روبا ب 30 دينار , و زدت  شريت زوز صبابط ب40 دينار.في الاخّر شريت جيلاي ب 50 دينار,اعملّي جدول فيه الدبش , عددهم و سومهم , فرّق الخانات ب
""|"".",Technology & Digital Life
القالي جمل من بلايص فيهم ثيقا كيما Guardian ولا Forbes فيهم بالضبط كيما الجملة لي بش نعطيهالك. و اعطي المصدر متع كل جملة. مدخل: فما برشرا اختيارات باهين,Other
"وقت الكتيبة , زدنا النجمة للكلمة لي مجاتش على بالنا ,لازمك تعطي شوية امثلة باش توضّح الكلمات الكل الّى تنجم تستعملهم في الجملة في عوض اكا النجمة . * بش نعرفو",Languages & Translation
اعطيني كلام بديل للكلمة المسطرا: الي _توقعناه,Languages & Translation
اعطيني أسئلة على الوغة R,Technology & Digital Life
نحب كيفاش نعمل تلخيص في اللنكد ان,Personal Development & Life Advice
"اكتب منشور على لينكدإن يعلن إنك قبلت عرض عمل جديد.
الإدخال:","Languages & Translation, Personal Development & Life Advice"
"أعمل قائمة بمهارات محبّذة للمهندسين البرمجيين باش يضيفوها في لينكدإن.
الإدخال:",Personal Development & Life Advice
" باش يتسألك هالسؤال في لينكدإن سكيل أسسمنتس:

إنبوت: إنت تكتشف اللي البروجّي متاعك فيه تاغ وفرع نفس الاسم بوش-نوتيفيكايشنز، والشي هاذا يسبب لخبطة كي تحاول تطبع المرجع المعيّن. كيفاش تنجم تحدّد الفرع اللي تحب تشوفه؟",Other
"خوذ عنوان المنتج واستخرج الخصائص متاعه. الخصائص في الحالة هاذي تشير للمواصفات متاع المنتجات كيما الماركة واللون. لازم تكون إجابتك قائمة تتبع الصيغة: ""الخاصية: القيمة"".
الإدخال: SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B",Technology & Digital Life
"يلزمك تكتب وصف منتج يقنع المشتري اللي المنتج مفيد.
الإدخال:  لعبة فليب سلايد ، لعبة إلكترونية محمولة | قلب، زلق، وطابق الألوان باش تتغلب على الوقت - 4 أوضاع لعب - متعة جماعية.",Technology & Digital Life
"شنية المنتجات الأخرى على أمازون اللي تنجم تهم شخص زار المنتج هذا؟
الإدخال: زيرول زيرولون هاردكوت أناودايد اشهار آيس كريم سكوب بمقبض مملوء بسائل فريد ناقل للحرارة، إطلاق سهل، مصنوع في الولايات المتحدة، بسعة واحد فاصل خمسة أونس، لون أسود.",Money & Finance
"قارن العنصر المعطى مع منتجات مشابهة بناءً على خصائصه كيما السعر، التقييم، إلخ. بش تقارن بين المنتجات، استعمل جدول وافصل الأعمدة بعلامة ""|"".
الإدخال:أقلام آي بايام للمفكّرة والتخطيط، أقلام ملوّنة، ماركرز برأس دقيق، أقلام رسم برأس دقيق، قلم فاينلاينر مسامي للتدوين والكتابة وتدوين الملاحظات والتقويم والتلوين والفن والمكتب ولوازم العودة للمدرسة، ١٨ لون.",Languages & Translation
"اكتب مراجعة و تبع المعلومات المعطاة.
الإدخال:
- المنتج: برسيل ديسكس لاندرِي ديترجنت باكس، الرائحة الأصلية، متوافق مع الغسالات عالية الكفاءة (HE)، صابون للغسيل، 62 قرص
- الاحساس: إيجابي",Languages & Translation
"اكتب وصف قصير للفيلم أو المسلسل المعطى.
الإدخال: ""ذا ويتشر (2019)""",Culture & Entertainment
"فكّر في شوية مسلسلات وأفلام اللي تنجم تكون ممتعة لشخص عجبو ""سكويد غايم"".
الإدخال: ""سكويد غايم""",Culture & Entertainment
"عطي أمثلة على برامج وأفلام معروفة في الصنف المعطى.
الإدخال: الصنف: ""برامج الجريمة التلفزية""",Culture & Entertainment
"في شنوّة الاصناف يندرج الفيلم أو السلسلة المعطاة؟
الإدخال: ""مانيفست""",Culture & Entertainment
"عطي وصف وجيز للنوعية هذي من الأفلام والمسلسلات.
الإدخال: ""درامات الفترة الزمنية"" ",Culture & Entertainment
"عطينا مثال كيفاش نعمل جدول محتويات  يتكوّن آليًا في مستند لاتيك. تاكّد إنّ المثال فيه الأوامر اللازمة.
الإدخال:",Technology & Digital Life
"تخيّل إنك تملك تدوين FEN للوحة شطرنج. كيفاش تنجم ترسم لوحة تبيّن الحالة هذي للوحة الشطرنج في LaTeX؟ حضّر كود LaTeX يضمّ كل الأوامر والحِزَم الضرورية.
الإدخال:





",Technology & Digital Life
"شنوّا هو الناتج متاع كود الـLaTeX المعطى؟
الإدخال:
\documentclass{article}
\begin{document}
First document. This is a simple example, with no extra parameters or packages included.
\end{document}",Technology & Digital Life
"لوج على شوية قوالب لاتيك مناسبة للمهمة المطلوبة وارفق الروابط ليها.
الإدخال: ""واجب منزلي""",Technology & Digital Life
"اكتب دليل بسيط باش ترفع قاعدة البيانات الببليوغرافية عالـOverleaf.
الإدخال:",Technology & Digital Life
"اختار بلايليست في سبوتيفاي تناسب الحالة المزاجية المعطاة، وعطينا رابطها.
الإدخال: ""حاسس بروحي بخير""",Culture & Entertainment
"كوّن بلايليست سبوتيفاي على حسب الجو، وانشرها كيما ليستة اغاني.
الإدخال: ""الجو: نبرمج في الويكاند""",Culture & Entertainment
"كيفاش توصف معنى هالكلمات؟ وضّح بعض الاستعارات الموجودة فيها.
الإدخال:حبي عندو حسّ الفكاهة
هي الضحكة في جنازة
تعرف رفض الناس الكل
كان لازم نعبدها من قبل",Languages & Translation
اقترحلي متب تتسمع ل عباد يسمعوهم اول مرا. اجلبهم و اختار اشهر وحيد. ادخال:,Culture & Entertainment
اعمل ليستا متع اشهر بودكاستوات,Culture & Entertainment
"يلزمك تاخذ وقتك باش تقرأ الوضعية والمشكل مليح وتعطي أحسن نصيحة تنجم.
الإدخال:
أنا قاعد نعمل رحلة بالسيارة في نيوزيلاندا مع صاحب، وهو بصراحة قاعد يجيبلي الصداع. ما عجبوش حتى تور من اللي عملناهم وما يحبش يحكي في حتى موضوع. دخلنا في الأسبوع الأوّل من رحلتنا وهاذي أهدأ مرّة نحس روحي فيها كي نكون مع شخص آخر، خاتر هو يصدّ كل محاولاتي في الكلام. يلبس الأيربودز في الكرهبة وفي مكان الإقامة – مش إني ما زلت نحاول نحكي معاه. الصراحة هو ناشر طاقة سلبية في كل شيء وقاعد يخرّبلي الرحلة.

ما عنا حتى حجز للجزيرة الجنوبية، لذلك قررت نفكّر نخلّيه في ويلينغتون عند الفيري. بالك نحجز كرهبة وحدي في بيكتن ونرتاح وحدي في باقي الرحلة. (مجرد التفكير في هالحاجة يجيبلي إحساس كبير بالراحة، لدرجة نحس بروحي نتأثّر. باش نخلّص اللي يلزم باش نبعد عليه.)

طبيعي كان نقوله إنه قاعد يفسّد رحلتي بطاقته السلبية ما هوش أحسن طريقة نتعامل بها مع الموقف. عندكم أي نصيحة بخصوص الطريقة الأنسب باش نعمل انفصال ودي؟ ولا على الأقل نتجنّب عركة كبيرة تجرّحنا وتخلّينا على عداوة؟",Personal Development & Life Advice
"بش نعطيك وصف فيه مجموعة من الحقائق أو السيناريوات، وعليك إنك تخلق قصة مبنية عليها. القطع الناقصة لازم تملاها بإضافات خيالية تكون منطقية في نفس الوقت.
الإدخال: عشرة فرق كورة قدم أوروبية – هولندا، إنجلترا، بلجيكا، الدنمارك، فرنسا، ألمانيا، النرويج، السويد، سويسرا، وويلز – بش يشاركوا في حملة “OneLove” طيلة الموسم للتشجيع على الدمج ومناهضة التمييز.",Culture & Entertainment
"بناء عالتساؤل المعطى، اقترح شوية كلمات بحث مشابهة.
الإدخال: ""تعلم اللغة الفرنسية""",Languages & Translation
"اقترح شوية أوراق بحثية على حسب مصطلحات البحث اللي عطيتهم. اكتب أسامي الأوراق.
الإدخال: ""الموضوع: قانون التحجيم + تعلم الآلة""
",Education & Studying
"حضر قالب توقيع للإيميل للشخص أو الشركة المعطاة.
الإدخال: ""طالب دراسات عليا في علوم الكمبيوتر""",Education & Studying
"تفاعل بالطريقة المناسبة مع تقييمات حرفاك. في ردودك، تنجم توضّح سياسات مشروعك وخدمات الحرفاء.
الإدخال:
مرّة أخرى رجعنا وما خيّبناش الظن. مكان رائع للإفطار أو البرنش – وما يلزمش تاكل حاجة أخرى لوقت طويل بعدو. المطعم قريب من منطقة تندرلوين، يعني لازم تبقى منتبه للّي يصير حواليك. جرّبنا الأومليت بالسوكوتاش (على الأقل مرتي عجبها برشا)، البينيديكت بالبورك المسحوب والهانغتاون فراي . الكميات كبيرة والأسعار معقولة. كنت نتمنّى لو نقدر نجرّب الـBeignet Flight! أكيد مكان يستاهل باش تمشي لو. أحيانًا يكون زحمة شوية، خلي عندك صبر. أي انتظار يستاهل.",Legal & Administrative
"اكتب بايو تويتر جيّد. حاول تغطي كل النقاط الأساسية اللي قُدِّمِت في البايو 
الإدخال:
الاسم: جين
النقاط الرئيسية:
- مهندسة معمارية
- مهتمّة بالتكنولوجيا
مكتوب بضمير المتكلّم
بنبرة عفويّة",Social & Romantic Relationships
"يلزمنا نكتبو تغريدة على موضوع معيّن باش نشاركو أخبار الشركة وحقايق عنها. بللهي اقرا الحقايق والتفاصيل المعطاة مليح وبعد حضّر تغريدة مبنية عليهم.
الإدخال:
- الخبر: الطلبات للتربص الصيفي مفتوحة توّة
- ابدأ بربط الموضوع مع هالوين",Social & Romantic Relationships
"وصف الوظيفة ( هو وثيقة توضّح بوضوح المتطلّبات، المهام، المسؤوليات، والمهارات اللازمة للقيام بدور معيّن. يلزمك تكتب وصف وظيفة بالاعتماد على المعلومات المعطاة. لازم ترتّب المسؤوليات والمهام في ترتيب منطقي. تذكّر إنو الموظفين المحتملين ياخذو أول انطباع على شركتك من وصف الوظيفة، يعني لازم وصف الوظيفة يبيّن جاذبية شركتك.
الإدخال:
الشركة:اسم الشركة

الوظيفة: مهندس برمجيات 

المسؤوليات الوظيفية:

استلام وتنفيذ مراجعات الكود مع مهندسين آخرين.
كتابة اختبارات وحدة ، اندماج ، ومن البداية للنهاية  للتأكّد من الوظائف باستعمال أُطر الاختبارات التلقائية كيما Pytest.
التعاون مع زملاء مهندسي البرمجيات لتطوير الخصائص اللي يطلبوها أصحاب المصلحة في الشركة .
المشاركة في فرق أجايل لتطوير، واختبار، وتتبع وإصلاح أنظمة معالجة بيانات معقّدة وتطبيقات تحليل البيانات باستعمال أنظمة المعالجة الكبرى كيما Apache Spark.
تشخيص الأخطاء وإصلاحها والقيام بتحليل السبب الجذري  للأعطاب والعيوب.
المهارات والخبرة اللي تلزم للنجاح:

خبرة في لغة برمجة حديثة. نستعمل بايثون وPySpark بكثرة.
خبرة في أنظمة الكلاود كيما AWS ولا Azure
خبرة في كتابة استعلامات SQL
مهارات اتصال كتابية وشفاهية قوية
حبّ للعمل في بيئة تعاونية عالية
بعض الخبرة في التصوّر البياني  كيما Tableau ولا PowerBI ينجم يعاون",Technology & Digital Life
"بالنظر للسبب اللي يخلّي الرفض، اكتب رسالة رفض مهذّبة باش تبلّغ مرشّح إنو ما تمّش اختياره.
الإدخال:
السبب: جيت في المرتبة الثانية","Social & Romantic Relationships, Society & Current Affairs"
"قرّرنا العنوان والموضوع لمقالة المدونة متاعنا. نحبّك تكتب فقرة مقدّمة تشدّ بها انتباه القرّاء.
الإدخال:
عنوان المدونة: Healthy Apple Muffins
موضوع المدونة: وصفة ونصايح باش تطبخ مافن تفاح صحّي وبنين",Technology & Digital Life
"صمّم مخطّط لمقالة مدوّنة بالاعتماد على المعلومات المعطاة، ورتّب الأقسام كيف ما يلزم.
الإدخال:
التدوينة هاذي باش تكون على كيفية إعداد قائمة أفكار هدايا في آخر لحظة. الأسلوب باش يكون مريح وعفوي.",Other
"اكتب قسم لموضوع مدوّنة وحاول تغطّي كل المعلومات المعطاة على هالقسم في نصّك.
الإدخال:
موضوع المدونة: 7 صيحات موضة خريفية تستاهل تاخذهم معاك في سفرتك
عنوان القسم: الجينز الموثوق
النقطة الرئيسية: الجينز ينجم يتلبس طول العام ويبان حلو مع أي حاجة",Other
"كوّن تعليق مفصّل لمشاركة على انستغرام بخصوص تخفيض. التعليق لازم يفسّر المنتج، يقدّم التخفيض، ويبيّن للمستخدم كيفاش يستفيد منو.
الإدخال:
المنتج: دورة Golang
وصف المنتج: تعليم المهارات الأساسية لبناء خدمات سحابية، وتطبيقات ويب، وأدوات DevOps، وتطوير الباكاند
التخفيض: 50%
كيف تستفيد: استعمل كود الكوبون: GOLANG",Technology & Digital Life
"اعمل تعليق جذاب على انستغرام بالاعتماد على التفاصيل المعطاة. حاول تفكّر في برشا تعليقات ممكنة.
الإدخال:
أنا نشارك صور أوّل ثلج في السنة مصوّرة من شباك في المكتب",Social & Romantic Relationships
"عندك موضوع لمنشور انستغرام. عاون المنشور باش يوصّل لأكبر عدد ممكن من الناس باقتراح هاشتاقات عندها علاقة بالموضوع.
الإدخال:
حلقة أخرى من سلسلة ""النساء في العلم"" خرجت توّة
",Social & Romantic Relationships
"استعمل إيموجيز مناسبة باش تعبّر على المعنى في النص المعطى.
الإدخال:
قطوسة ظريفة تلعب ناعمة",Greetings & Small Talk
"فمّا موضوع بوست يوتيوب ، وبناءً عالمعلومات، يلزمك تكتب مقدّمة  تبدأ بيها الفيديو. مقدّمة جذّابة تخلي الناس مهتمّين ويتابعو للآخر. حبّذا لو تجيب أكثر من مقدّمة.
الإدخال:
فيديو يوري كيفاش تعمل فنجان قهوة بنين","Food & Cooking, Social & Romantic Relationships"
"باستعمال الموضوع المعطى كنقطة بداية، اقترح أفكار لفيديوهات تنجّم تعملها على يوتيوب.
الإدخال:
بالرغم اللي التسويف يخلّيك تحسّ بشعور سيّئ، علاش تعمل فيه؟",Culture & Entertainment
"يلزمك تختار عنوان لفيديو على يوتيوب بناءً على المحتوى متاعه. عنوان الفيديو يوضّح للمشاهدين شنو يتوقعو. لازم يكون واضح وجذّاب. ما تستعملش عنوان مبهم.
الإدخال:
تعملت دراسة بحثية باش نعرفو إذا الرياضة فعلاً تنجّم ""تعزّز"" عملية الهضم ولا لا","Social & Romantic Relationships, Culture & Entertainment"
"اختيار اسم لقناة يوتيوب لمنتوجك ولا لخدمتك حاجة مهمّة. بالاعتماد عالوصف، لازمك تخرج أفكار أسماء تشدّ الانتباه. خذ وقتك وفكّر مليح.
الإدخال:
هنا باش تلقى فيديوهات ومحتوى يساعد الطلبة يحضّروا عملية التقديم لجامعات الدراسات العليا وكيفاش يقدّمو عليها
",Culture & Entertainment
"لقى الإجابة اللي أحسن توصف الكلمة المأكّد عليها في جملة الـSAT، واختار الخيار الصحيح وفسّر معنى الكلمة.
الإدخال:
بالرغم من ال_cacophony، الطالب حاول يقرا.
A. أصوات عالية
B. موضوع صعيب
C. ساعة متأخرة
D. إضاءة خافتة",Languages & Translation
"لقى مرادفات للكلمة المعطاة. لازمك تبيّن كيفاش تختلف المرادفات على الكلمة الأصلية في المعنى والاستعمال إلخ.
الإدخال:
adversity",Languages & Translation
"احكي على أصول كلمة وتاريخها اللي معطاتلك.
الإدخال:
oblique",Culture & Entertainment
"اعطي للعلامة التجارية اللي قدّموها شعار تسويقي تقدر تستعملو في استراتيجيات التسويق متاعها.
الإدخال:
محل الآيس كريم محل صغير وكيُوت في قلب المنطقة التاريخية. يقدّم نكهات مختلفة من الآيس كريم، زادا آيس إيطالي، جيلاتو، وسوربيه. عندهم كمشة طاولات وكراسي، أمّا أغلب الحرفاء ياخذو تيك أواي. عندهم برنامج ولاء وين تقدّر تاخذ سكوب آيس كريم مجانا بعد 10 مشتريات.",Society & Current Affairs
"يلزمك تكتب إيميل تأكيد بطريقة مناسبة للموقف.
الإدخال:
حددنا موعد اجتماع، والشخص اللي بعث الرسالة يستنى في لاخر يراجع الصفحات.","Social & Romantic Relationships, Society & Current Affairs"
"يلزمك تكتب إيميل باش تفاوض بيه على الشهرية متاعك.
الإدخال:",Society & Current Affairs
"اكتب إيميل للحاضرين كتنبيه إنو الحدث قرب يجي.
الإدخال:

","Social & Romantic Relationships, Society & Current Affairs"
"ينجم يعاون برشة لو تقترح اختصار للمخزن.
الإدخال: إطار عمل بايثون باش تعمل، تعدّل، وتستدعي الدواير الكوانتية (نوازي إنترميديات سكيل كوانتوم - ن آي إس كيو).",Languages & Translation
"اكتب دليل خطوة بخطوة باش تحلّ كونفليكت دمج في جيتهاب.
الإدخال:","Technology & Digital Life, Personal Development & Life Advice"
"عمل واحد ولا أكثر ينجم يتنفّذ آليًّا بخاصّية الوورك فلو (Workflow). الوورك فلوهات هذي تتعرّف في الريبو بملفّات واي أم أل (YAML) وتنجم تمشي كي يصير إيفنت في الريبو، وزادة يدويا، ولا في وقت معيّن بجدولة. هات مثال على وورك فلو يبيّن خصائص السي آي/سي دي (CI/CD) متاع جيتهاب أكشنز.
الإدخال:","Personal Development & Life Advice, Technology & Digital Life"
"التاغلاين متاع الفيلم هو الشعار الإعلاني، عادةً ينطبع على الأفيشات قبل الإصدار الرسمي. هو وصف قصير ولا تعليق على الفيلم باش يلمّ جوهره، وفي الأخير يجعلك تحب تفرجو. هذي مثال:
الإدخال: الفيلم: جوكر (2019)",Culture & Entertainment
"عندك شوية تقييمات (ريفيوز) لفيلم. كل فيديو ربّما ذكر نقاط سلبيّة ولا إيجابيّة على الفيلم. إقراهم مليح وطلّع النقاط الإيجابية والسلبيّة الكل اللي تذكرت في التقييمات. بعدين، اعمل قائمة بالنقاط هذي وخصّصهم كـ Positive Points وNegative Points.
الإدخال:

ريفيو ١: مش متأكّد إذا المشكلة فقط في إنو إيد نورتون يزعجني برشة في الفيلم، أمّا عمري ما صدّقت فكرة فايت كلوب كظاهرة ثقافية منوّعة. إي نعم القصّة مبتكرة، مع نصّ قويّ، شخصيات مشوّقة، وتصوير سينمائي مكثّف. أمّا هل يستحق كل هالمديح؟ بالنسبة ليا يبدأ يهبط مستوى الفيلم في النصّ الثاني ويولي ممل في آخره. كل شي يولي شوية طفولي ومفتعل كيف القصة تبعد عالأساسيات متاعها وتدخل في جوّ الغضب ضد النظام. نحترم برشة طريقة صنع الفيلم هذي، لكن كيما الماتريكس نحس الناس تعطي أهمية أكبر مما يستحق.
ريفيو ٢: الفيلم يحكي حكاية رجال ما نجموش يتأقلمو مع النظام الاجتماعي في عالم اليوم، تحت قيادة تايلر ديردن، باش يكتشفو الغريزة الطبيعية والرجولية ويهربو من حياتهم الكئيبة.
ريفيو ٣: رغم إنو الثيم باهي، والتمثيل ممتاز والرسائل المهمة اللي يوصلها الفيلم بطريقة غريبة، أنا نشوفو ما ينجّمش يربط الجمهور مع القصة ويخلّيه في عالم من الحيرة. رغم إنو أكثر التقييمات تشوف الفيلم مسلّي ومثير للاهتمام، أما أنا نختار نكون من الأقليّة اللي تشوفو الفيلم مبالغ فيه برشة.
ريفيو ٤: هل خلق الفوضى، التفجيرات، والانضمام لجماعة متشددة هو الحلّ للتخلّص من القيود المادية؟! المؤثرات البصرية مبهرة والقصة مشدودة حتى للنصف الثاني. للأسف، النهاية ماهيش مليحة.",Culture & Entertainment
"اعطي ملخّص وجيز على حكاية الفيلم ولا السلسلة.
الإدخال: بريكينغ باد (مسلسل تلفزي  2008–2013)",Culture & Entertainment
"قرّر إذا الأولاد ينجموا يتفرّجو الفيلم هذا ولا لا. اذكر شنو اللي يخليه غير مناسب إذا تشوف إنهم ما لازمش يشوفوه.
الإدخال: ذي دارك نايت (2008)","Personal Development & Life Advice, Culture & Entertainment"
"اكتب تحليل قصير عالتصوير السينمائي في الفيلم.
الإدخال: ديد بووتس سوسايتي",Languages & Translation
"قولي رأيك في المكان المعطى وعلش تشوف إنو يستاهل الزيارة.
الإدخال: برشلونة، إسبانيا","Personal Development & Life Advice, Travel & Immigration"
"فكّر في أحسن وقت في العام باش تزور المدينة المعنيّة، وفسّر علش اخترت الوقت ذاك.
الإدخال: سيدني، أستراليا","Personal Development & Life Advice, Travel & Immigration"
"اعمل استبيان يساعد ضيوف النزل يكتبو تقييمات على النزل.
الإدخال:",Other
"اعمل قائمة بأهم الأماكن في أمريكا ينجم الواحد يزورها في الوقت المعطى.
الإدخال: نوفمبر",Travel & Immigration
"سمّي أهم المدن في فرنسا اللي ما يلزمش تفوّتها، واذكر أحسن الحاجات في كل بلاصة.
الإدخال:",Travel & Immigration
"جاوب على السؤال التالي بالاعتماد على المعلومة الموفّرة.
الإدخال: كيفاش نقارن سترينغ في جافا؟ أنا مستعمل == في البرنامح متاعي باش نقارن السترينغات الكل، أمّا طلعلي غلطة، ومن بعد بدلت واحدة منهم بـ .equals() وتصلح العطب. هل == حاجة خايبة؟ وقتاش نستعملها ووقتاش لا؟ شنيا الفرق؟",Technology & Digital Life
"عندك سؤال وجاوبين محتملين. المهم إنك تقيم كل جواب وتشوف إذا صحيح ولا لا. لو كان غالط فسّر علاش.
الإدخال:
هل فمّا طريقة باش نقرا حرف واحد فقط من إدخال المستخدم؟ يعني هو يضغط كليد وحدة في التيرمينال وترجع (كيف getch()). نعرف فما فانكشن في ويندوز تعمل هكا، أما نحب حاجة تخدم على كل الأنظمة.

الجواب 1: هذي رابط لموقع أكتيف ستايت ريسيبيز يوري كيفاش تقرا حرف واحد في ويندوز، لينُكس وماك أو إس: 
رابطأكتيفستايت
رابطأكتيفستايت
الجواب 2: كي تحب كان توقف الشاشة باش تشوف النتيجة في التيرمينال، اكتب input() في آخر الكود وهو باش يوقف الشاشة","Technology & Digital Life, Personal Development & Life Advice"
